banks,window,variant,pattern,size,twotc,seed,completion
4,10d,case_fpr,Uniform,200,30%,5,96.9013355773238
4,10d,case_fpr,Uniform,200,30%,6,97.26579413056632
4,10d,case_fpr,Uniform,200,30%,7,97.04140404954585
4,10d,case_fpr,Uniform,200,30%,8,96.24253816853815
4,10d,case_fpr,Uniform,200,30%,9,97.43830545793325
4,10d,case_fpr,Uniform,300,10%,0,97.74642603582724
4,10d,case_fpr,Uniform,300,10%,1,96.70138999216029
4,10d,case_fpr,Uniform,300,10%,2,96.41272241858262
4,10d,case_fpr,Uniform,300,10%,3,96.62405722249814
4,10d,case_fpr,Uniform,300,10%,4,97.02763762777377
4,10d,case_fpr,Uniform,300,10%,5,97.33101928961426
4,10d,case_fpr,Uniform,300,10%,6,96.99495950706616
4,10d,case_fpr,Uniform,300,10%,7,96.96866624199323
4,10d,case_fpr,Uniform,300,10%,8,97.54411310982844
4,10d,case_fpr,Uniform,300,10%,9,97.85708556388197
4,10d,case_fpr,Uniform,300,20%,0,97.05306103833993
4,10d,case_fpr,Uniform,300,20%,1,98.52306593282036
4,10d,case_fpr,Uniform,300,20%,2,97.08942759092162
4,10d,case_fpr,Uniform,300,20%,3,97.16665338114224
4,10d,case_fpr,Uniform,300,20%,4,96.5648514747063
4,10d,case_fpr,Uniform,300,20%,5,96.97938213635909
4,10d,case_fpr,Uniform,300,20%,6,95.68791559568952
4,10d,case_fpr,Uniform,300,20%,7,97.11014969900494
4,10d,case_fpr,Uniform,300,20%,8,97.51064179392893
4,10d,case_fpr,Uniform,300,20%,9,98.24987807640527
4,10d,case_fpr,Uniform,300,30%,0,96.4110602950015
4,10d,case_fpr,Uniform,300,30%,1,96.70545523171744
4,10d,case_fpr,Uniform,300,30%,2,97.06940772727052
4,10d,case_fpr,Uniform,300,30%,3,97.5296930279942
4,10d,case_fpr,Uniform,300,30%,4,97.32516519402859
4,10d,case_fpr,Uniform,300,30%,5,96.73744619288236
4,10d,case_fpr,Uniform,300,30%,6,95.80209051365642
4,10d,case_fpr,Uniform,300,30%,7,97.7450765786902
4,10d,case_fpr,Uniform,300,30%,8,97.23098496370342
4,10d,case_fpr,Uniform,300,30%,9,96.48096563701606
4,10d,case_fpr,Uniform,400,10%,0,96.79816128169064
4,10d,case_fpr,Uniform,400,10%,1,96.50269772231447
4,10d,case_fpr,Uniform,400,10%,2,97.09783524149134
4,10d,case_fpr,Uniform,400,10%,3,96.18534863042156
4,10d,case_fpr,Uniform,400,10%,4,96.95944480096014
4,10d,case_fpr,Uniform,400,10%,5,96.35842717852626
4,10d,case_fpr,Uniform,400,10%,6,97.21691028801943
4,10d,case_fpr,Uniform,400,10%,7,96.50544053661977
4,10d,case_fpr,Uniform,400,10%,8,97.615414146959
4,10d,case_fpr,Uniform,400,10%,9,98.33143654168155
4,10d,case_fpr,Uniform,400,20%,0,97.11821024350705
4,10d,case_fpr,Uniform,400,20%,1,96.79749291179166
4,10d,case_fpr,Uniform,400,20%,2,96.51726672679378
4,10d,case_fpr,Uniform,400,20%,3,98.48018247378181
4,10d,case_fpr,Uniform,400,20%,4,97.19202892860926
4,10d,case_fpr,Uniform,400,20%,5,97.16990224895562
4,10d,case_fpr,Uniform,400,20%,6,97.44472427280054
4,10d,case_fpr,Uniform,400,20%,7,96.49447961547386
4,10d,case_fpr,Uniform,400,20%,8,96.03338731141208
4,10d,case_fpr,Uniform,400,20%,9,97.64220598710793
4,10d,case_fpr,Uniform,400,30%,0,97.55931765080692
4,10d,case_fpr,Uniform,400,30%,1,97.42303709262075
4,10d,case_fpr,Uniform,400,30%,2,97.4879118201607
4,10d,case_fpr,Uniform,400,30%,3,96.81208928936566
4,10d,case_fpr,Uniform,400,30%,4,96.05297952028985
4,10d,case_fpr,Uniform,400,30%,5,97.59625308857193
4,10d,case_fpr,Uniform,400,30%,6,96.59869663929103
4,10d,case_fpr,Uniform,400,30%,7,97.06235039793104
4,10d,case_fpr,Uniform,400,30%,8,96.74192904253194
4,10d,case_fpr,Uniform,400,30%,9,97.13352354914853
4,10d,dap_case,Uniform,200,10%,0,96.09862520124658
4,10d,dap_case,Uniform,200,10%,1,96.27496430429355
4,10d,dap_case,Uniform,200,10%,2,96.43708945795633
4,10d,dap_case,Uniform,200,10%,3,96.55061807351224
4,10d,dap_case,Uniform,200,10%,4,96.18148146747649
4,10d,dap_case,Uniform,200,10%,5,96.50898362575387
4,10d,dap_case,Uniform,200,10%,6,96.47527234868014
4,10d,dap_case,Uniform,200,10%,7,96.34904190845634
4,10d,dap_case,Uniform,200,10%,8,97.22536456555879
4,10d,dap_case,Uniform,200,10%,9,97.19798872310629
4,10d,dap_case,Uniform,200,20%,0,97.10954595780618
4,10d,dap_case,Uniform,200,20%,1,97.37565493081978
4,10d,dap_case,Uniform,200,20%,2,96.148985447415
4,10d,dap_case,Uniform,200,20%,3,97.38364194337674
4,10d,dap_case,Uniform,200,20%,4,96.68550058515845
4,10d,dap_case,Uniform,200,20%,5,96.85657149051241
4,10d,dap_case,Uniform,200,20%,6,96.94715381340372
4,10d,dap_case,Uniform,200,20%,7,96.57933552321843
4,10d,dap_case,Uniform,200,20%,8,97.32228694677588
4,10d,dap_case,Uniform,200,20%,9,96.58223703538519
4,10d,dap_case,Uniform,200,30%,0,97.31816755858938
4,10d,dap_case,Uniform,200,30%,1,97.14619705776244
4,10d,dap_case,Uniform,200,30%,2,96.82571969004763
4,10d,dap_case,Uniform,200,30%,3,95.37854154123556
4,10d,dap_case,Uniform,200,30%,4,96.87153773577836
4,10d,dap_case,Uniform,200,30%,5,96.84108232249312
4,10d,dap_case,Uniform,200,30%,6,95.98217622681284
4,10d,dap_case,Uniform,200,30%,7,96.77305322698236
4,10d,dap_case,Uniform,200,30%,8,96.7446325680447
4,10d,dap_case,Uniform,200,30%,9,95.94749337140493
4,10d,dap_case,Uniform,300,10%,0,96.80033924788518
4,10d,dap_case,Uniform,300,10%,1,96.55890316677285
4,10d,dap_case,Uniform,300,10%,2,96.86129291088706
4,10d,dap_case,Uniform,300,10%,3,96.28814352395382
4,10d,dap_case,Uniform,300,10%,4,97.32083978750985
4,10d,dap_case,Uniform,300,10%,5,96.55207456984232
4,10d,dap_case,Uniform,300,10%,6,95.67951966567378
4,10d,dap_case,Uniform,300,10%,7,97.26404272195386
4,10d,dap_case,Uniform,300,10%,8,97.81723389224663
4,10d,dap_case,Uniform,300,10%,9,96.25668954871604
4,10d,dap_case,Uniform,300,20%,0,96.53840539599585
4,10d,dap_case,Uniform,300,20%,1,96.89352329540816
4,10d,dap_case,Uniform,300,20%,2,97.26119915592709
4,10d,dap_case,Uniform,300,20%,3,96.64503073551101
4,10d,dap_case,Uniform,300,20%,4,96.77792635705696
4,10d,dap_case,Uniform,300,20%,5,96.60577678919921
4,10d,dap_case,Uniform,300,20%,6,96.24519667810758
4,10d,dap_case,Uniform,300,20%,7,96.79734792277634
4,10d,dap_case,Uniform,300,20%,8,96.23979646145666
4,10d,dap_case,Uniform,300,20%,9,96.80611353745643
4,10d,dap_case,Uniform,300,30%,0,96.69222249618454
4,10d,dap_case,Uniform,300,30%,1,97.1385999518096
4,10d,dap_case,Uniform,300,30%,2,95.96987050151527
4,10d,dap_case,Uniform,300,30%,3,97.0791665126098
4,10d,dap_case,Uniform,300,30%,4,95.66439934465683
4,10d,dap_case,Uniform,300,30%,5,97.52411353362692
4,10d,dap_case,Uniform,300,30%,6,97.52442160740227
4,10d,dap_case,Uniform,300,30%,7,97.21253488980919
4,10d,dap_case,Uniform,300,30%,8,96.66622730253312
4,10d,dap_case,Uniform,300,30%,9,98.10422680750955
4,10d,dap_case,Uniform,400,10%,0,96.59239231378774
4,10d,dap_case,Uniform,400,10%,1,97.03509846356785
4,10d,dap_case,Uniform,400,10%,2,97.05563763432535
4,10d,dap_case,Uniform,400,10%,3,97.20446512587688
4,10d,dap_case,Uniform,400,10%,4,97.58328756184368
4,10d,dap_case,Uniform,400,10%,5,96.7435605917348
4,10d,dap_case,Uniform,400,10%,6,97.11692053570329
4,10d,dap_case,Uniform,400,10%,7,97.03210490763676
4,10d,dap_case,Uniform,400,10%,8,96.55467294725726
4,10d,dap_case,Uniform,400,10%,9,96.90013372643969
4,10d,dap_case,Uniform,400,20%,0,96.73105245129376
4,10d,dap_case,Uniform,400,20%,1,97.90165876339567
4,10d,dap_case,Uniform,400,20%,2,96.82762792607474
4,10d,dap_case,Uniform,400,20%,3,97.4416691464118
4,10d,dap_case,Uniform,400,20%,4,96.18263053739793
4,10d,dap_case,Uniform,400,20%,5,97.0180653517879
4,10d,dap_case,Uniform,400,20%,6,96.80616102882155
4,10d,dap_case,Uniform,400,20%,7,96.49771524697387
4,10d,dap_case,Uniform,400,20%,8,96.62456124270034
4,10d,dap_case,Uniform,400,20%,9,96.66252918007926
4,10d,dap_case,Uniform,400,30%,0,97.10726625385935
4,10d,dap_case,Uniform,400,30%,1,97.15858964620638
4,10d,dap_case,Uniform,400,30%,2,96.64865205577655
4,10d,dap_case,Uniform,400,30%,3,96.52448718003569
4,10d,dap_case,Uniform,400,30%,4,96.35682557431754
4,10d,dap_case,Uniform,400,30%,5,97.24769633343936
4,10d,dap_case,Uniform,400,30%,6,96.74826112845764
4,10d,dap_case,Uniform,400,30%,7,96.83129705605674
4,10d,dap_case,Uniform,400,30%,8,96.87849428436245
4,10d,dap_case,Uniform,400,30%,9,97.58011229096441
4,10d,dap_fpr,Uniform,200,10%,0,96.46787731947454
4,10d,dap_fpr,Uniform,200,10%,1,96.73583624699275
4,10d,dap_fpr,Uniform,200,10%,2,96.12490000784763
4,10d,dap_fpr,Uniform,200,10%,3,96.42886419329639
4,10d,dap_fpr,Uniform,200,10%,4,96.81709695237777
4,10d,dap_fpr,Uniform,200,10%,5,96.46325553318039
4,10d,dap_fpr,Uniform,200,10%,6,96.65394859140389
4,10d,dap_fpr,Uniform,200,10%,7,96.0880066389867
4,10d,dap_fpr,Uniform,200,10%,8,95.42579284027418
4,10d,dap_fpr,Uniform,200,10%,9,95.8529847301349
4,10d,dap_fpr,Uniform,200,20%,0,97.0345422282661
4,10d,dap_fpr,Uniform,200,20%,1,97.02741746544655
4,10d,dap_fpr,Uniform,200,20%,2,96.40368068018981
4,10d,dap_fpr,Uniform,200,20%,3,96.9210158612898
4,10d,dap_fpr,Uniform,200,20%,4,96.67681780430726
4,10d,dap_fpr,Uniform,200,20%,5,97.72311719437553
4,10d,dap_fpr,Uniform,200,20%,6,97.6793599805581
4,10d,dap_fpr,Uniform,200,20%,7,96.54378824958928
4,10d,dap_fpr,Uniform,200,20%,8,96.04852251980137
4,10d,dap_fpr,Uniform,200,20%,9,95.71483079968512
4,10d,dap_fpr,Uniform,200,30%,0,96.8170755300075
4,10d,dap_fpr,Uniform,200,30%,1,97.09731563362796
4,10d,dap_fpr,Uniform,200,30%,2,96.0842695614519
4,10d,dap_fpr,Uniform,200,30%,3,97.39980843667703
4,10d,dap_fpr,Uniform,200,30%,4,97.30473972351298
4,10d,dap_fpr,Uniform,200,30%,5,95.47974378362507
4,10d,dap_fpr,Uniform,200,30%,6,96.40600871754941
4,10d,dap_fpr,Uniform,200,30%,7,96.84265949390746
4,10d,dap_fpr,Uniform,200,30%,8,96.73455875638349
4,10d,dap_fpr,Uniform,200,30%,9,98.06458249892546
4,10d,dap_fpr,Uniform,300,10%,0,95.96490542301201
4,10d,dap_fpr,Uniform,300,10%,1,96.45452034898337
4,10d,dap_fpr,Uniform,300,10%,2,97.31894858298611
4,10d,dap_fpr,Uniform,300,10%,3,96.61574161542758
4,10d,dap_fpr,Uniform,300,10%,4,96.31692481680287
4,10d,dap_fpr,Uniform,300,10%,5,96.56588055309918
4,10d,dap_fpr,Uniform,300,10%,6,95.94399964325082
4,10d,dap_fpr,Uniform,300,10%,7,97.39845906856634
4,10d,dap_fpr,Uniform,300,10%,8,96.95796772809484
4,10d,dap_fpr,Uniform,300,10%,9,97.79639695348583
4,10d,dap_fpr,Uniform,300,20%,0,95.99629376688311
4,10d,dap_fpr,Uniform,300,20%,1,96.74868040920367
4,10d,dap_fpr,Uniform,300,20%,2,96.39795125762559
4,10d,dap_fpr,Uniform,300,20%,3,96.97017064033005
4,10d,dap_fpr,Uniform,300,20%,4,95.99611313953817
4,10d,dap_fpr,Uniform,300,20%,5,96.54110432768667
4,10d,dap_fpr,Uniform,300,20%,6,96.77585017403663
4,10d,dap_fpr,Uniform,300,20%,7,95.67755978249694
4,10d,dap_fpr,Uniform,300,20%,8,97.10247259446017
4,10d,dap_fpr,Uniform,300,20%,9,96.42386864758728
4,10d,dap_fpr,Uniform,300,30%,0,96.1482107433441
4,10d,dap_fpr,Uniform,300,30%,1,96.82220842390221
4,10d,dap_fpr,Uniform,300,30%,2,96.56230294767187
4,10d,dap_fpr,Uniform,300,30%,3,96.85277320548094
4,10d,dap_fpr,Uniform,300,30%,4,96.95377342421496
4,10d,dap_fpr,Uniform,300,30%,5,96.69901343924222
4,10d,dap_fpr,Uniform,300,30%,6,97.32321834049459
4,10d,dap_fpr,Uniform,300,30%,7,96.56463703960044
4,10d,dap_fpr,Uniform,300,30%,8,96.59739336852702
4,10d,dap_fpr,Uniform,300,30%,9,97.61750828927995
4,10d,dap_fpr,Uniform,400,10%,0,96.2593270294795
4,10d,dap_fpr,Uniform,400,10%,1,96.5809169532248
4,10d,dap_fpr,Uniform,400,10%,2,97.2893229574823
4,10d,dap_fpr,Uniform,400,10%,3,97.5156554219054
4,10d,dap_fpr,Uniform,400,10%,4,96.53471379755841
4,10d,dap_fpr,Uniform,400,10%,5,96.50328971580524
4,10d,dap_fpr,Uniform,400,10%,6,96.88845202648073
4,10d,dap_fpr,Uniform,400,10%,7,96.50571699008928
4,10d,dap_fpr,Uniform,400,10%,8,97.19950915279011
4,10d,dap_fpr,Uniform,400,10%,9,96.1204460616812
4,10d,dap_fpr,Uniform,400,20%,0,96.4714607874499
4,10d,dap_fpr,Uniform,400,20%,1,94.85343781204678
4,10d,dap_fpr,Uniform,400,20%,2,96.1573190011966
4,10d,dap_fpr,Uniform,400,20%,3,95.34794386946746
4,10d,dap_fpr,Uniform,400,20%,4,95.98780600154011
4,10d,dap_fpr,Uniform,400,20%,5,97.41381268731956
4,10d,dap_fpr,Uniform,400,20%,6,97.07462065746331
4,10d,dap_fpr,Uniform,400,20%,7,95.22892582534007
4,10d,dap_fpr,Uniform,400,20%,8,96.51679421652614
4,10d,dap_fpr,Uniform,400,20%,9,96.76663427995226
4,10d,dap_fpr,Uniform,400,30%,0,97.14880420544036
4,10d,dap_fpr,Uniform,400,30%,1,96.53484176540056
4,10d,dap_fpr,Uniform,400,30%,2,97.27931686433261
4,10d,dap_fpr,Uniform,400,30%,3,96.20868737103147
4,10d,dap_fpr,Uniform,400,30%,4,96.6236861068136
4,10d,dap_fpr,Uniform,400,30%,5,96.38834484644995
4,10d,dap_fpr,Uniform,400,30%,6,96.60652220909896
4,10d,dap_fpr,Uniform,400,30%,7,95.90286025535055
4,10d,dap_fpr,Uniform,400,30%,8,95.61684357918703
4,10d,dap_fpr,Uniform,400,30%,9,96.23757013153022
4,10d,case_only,Uniform,200,10%,0,95.12471957498707
4,10d,case_only,Uniform,200,10%,1,95.27362118448251
4,10d,case_only,Uniform,200,10%,2,95.82140971198254
4,10d,case_only,Uniform,200,10%,3,95.79245447190299
4,10d,case_only,Uniform,200,10%,4,95.49858986144075
4,10d,case_only,Uniform,200,10%,5,95.4176417269512
4,10d,case_only,Uniform,200,10%,6,95.42222503235837
4,10d,case_only,Uniform,200,10%,7,96.05438485681186
4,10d,case_only,Uniform,200,10%,8,95.2752101581541
4,10d,case_only,Uniform,200,10%,9,95.3971295868009
4,10d,case_only,Uniform,200,20%,0,95.07521369174613
4,10d,case_only,Uniform,200,20%,1,95.69995151625943
4,10d,case_only,Uniform,200,20%,2,95.04885624107688
4,10d,case_only,Uniform,200,20%,3,96.26893298557691
4,10d,case_only,Uniform,200,20%,4,95.47055401355385
4,10d,case_only,Uniform,200,20%,5,95.86026263568924
4,10d,case_only,Uniform,200,20%,6,95.72462726820802
4,10d,case_only,Uniform,200,20%,7,95.17578053740273
4,10d,case_only,Uniform,200,20%,8,96.00514959207864
4,10d,case_only,Uniform,200,20%,9,96.50203424741126
4,10d,case_only,Uniform,200,30%,0,96.36322740585908
4,10d,case_only,Uniform,200,30%,1,94.8431513090327
4,10d,case_only,Uniform,200,30%,2,95.56942623895645
4,10d,case_only,Uniform,200,30%,3,95.97879451353563
4,10d,case_only,Uniform,200,30%,4,95.99626057518566
4,10d,case_only,Uniform,200,30%,5,95.94373627885923
4,10d,case_only,Uniform,200,30%,6,95.58771917246139
4,10d,case_only,Uniform,200,30%,7,95.30613563632839
4,10d,case_only,Uniform,200,30%,8,96.0446191405433
4,10d,case_only,Uniform,200,30%,9,95.07886948179109
4,10d,case_only,Uniform,300,10%,0,96.15544380208887
4,10d,case_only,Uniform,300,10%,1,94.67380487354914
4,10d,case_only,Uniform,300,10%,2,95.53510776997257
4,10d,case_only,Uniform,300,10%,3,95.99747637909672
4,10d,case_only,Uniform,300,10%,4,96.0579884289743
4,10d,case_only,Uniform,300,10%,5,95.27304823061395
4,10d,case_only,Uniform,300,10%,6,95.55483353186493
4,10d,case_only,Uniform,300,10%,7,95.51594712161044
4,10d,case_only,Uniform,300,10%,8,95.8114532492717
4,10d,case_only,Uniform,300,10%,9,96.24365318026344
4,10d,case_only,Uniform,300,20%,0,95.51388302750459
4,10d,case_only,Uniform,300,20%,1,95.60820993583584
4,10d,case_only,Uniform,300,20%,2,95.00833466061505
4,10d,case_only,Uniform,300,20%,3,96.2297844783686
4,10d,case_only,Uniform,300,20%,4,95.63896758331184
4,10d,case_only,Uniform,300,20%,5,97.06411739437978
4,10d,case_only,Uniform,300,20%,6,95.96759373579424
4,10d,case_only,Uniform,300,20%,7,95.52476437343202
4,10d,case_only,Uniform,300,20%,8,96.52911982014648
4,10d,case_only,Uniform,300,20%,9,95.72485546621343
4,10d,case_only,Uniform,300,30%,0,95.59690524936816
4,10d,case_only,Uniform,300,30%,1,95.92398940929782
4,10d,case_only,Uniform,300,30%,2,96.44191099281471
4,10d,case_only,Uniform,300,30%,3,95.84672126318183
4,10d,case_only,Uniform,300,30%,4,95.15965663566962
4,10d,case_only,Uniform,300,30%,5,95.49612192862537
4,10d,case_only,Uniform,300,30%,6,95.49502464033054
4,10d,case_only,Uniform,300,30%,7,96.00229701380978
4,10d,case_only,Uniform,300,30%,8,94.87363594629251
4,10d,case_only,Uniform,300,30%,9,95.83964749539022
4,10d,case_only,Uniform,400,10%,0,95.6401173836738
4,10d,case_only,Uniform,400,10%,1,95.24205177911486
4,10d,case_only,Uniform,400,10%,2,96.19431593843744
4,10d,case_only,Uniform,400,10%,3,96.09334491166115
4,10d,case_only,Uniform,400,10%,4,96.66990017596368
4,10d,case_only,Uniform,400,10%,5,95.04268312269288
4,10d,case_only,Uniform,400,10%,6,95.98716069230744
4,10d,case_only,Uniform,400,10%,7,95.3893200121147
4,10d,case_only,Uniform,400,10%,8,96.00760650654641
4,10d,case_only,Uniform,400,10%,9,95.5783207861078
4,10d,case_only,Uniform,400,20%,0,95.63645600383862
4,10d,case_only,Uniform,400,20%,1,95.92413233590919
4,10d,case_only,Uniform,400,20%,2,95.73312910303007
4,10d,case_only,Uniform,400,20%,3,95.56432151425345
4,10d,case_only,Uniform,400,20%,4,96.47866165149236
4,10d,case_only,Uniform,400,20%,5,95.99766073356122
4,10d,case_only,Uniform,400,20%,6,95.11546871145565
4,10d,case_only,Uniform,400,20%,7,96.00458078417255
4,10d,case_only,Uniform,400,20%,8,95.74328850314332
4,10d,case_only,Uniform,400,20%,9,95.31121648123178
4,10d,case_only,Uniform,400,30%,0,96.26811163372987
4,10d,case_only,Uniform,400,30%,1,95.9246581610082
4,10d,case_only,Uniform,400,30%,2,94.6861793653637
4,10d,case_only,Uniform,400,30%,3,95.50070112014319
4,10d,case_only,Uniform,400,30%,4,95.83228346386792
4,10d,case_only,Uniform,400,30%,5,95.77753012747505
4,10d,case_only,Uniform,400,30%,6,95.8925402636618
4,10d,case_only,Uniform,400,30%,7,96.09360038644212
4,10d,case_only,Uniform,400,30%,8,96.23776985483055
4,10d,case_only,Uniform,400,30%,9,95.29487238767445
4,10d,dap_only,Uniform,200,10%,0,95.2744653366951
4,10d,dap_only,Uniform,200,10%,1,95.13039725072639
4,10d,dap_only,Uniform,200,10%,2,95.23361612868494
4,10d,dap_only,Uniform,200,10%,3,96.19652368101684
4,10d,dap_only,Uniform,200,10%,4,94.39276955420785
4,10d,dap_only,Uniform,200,10%,5,95.09607141201553
4,10d,dap_only,Uniform,200,10%,6,95.22630083093718
4,10d,dap_only,Uniform,200,10%,7,94.97678551222374
4,10d,dap_only,Uniform,200,10%,8,96.03136593773614
