perturb_type,level,pattern,size,twotc,seed,method,completion,tardy
arrivals,0.0,Uniform,200,20%,5,lhac,94.72193193193678,2.378038043979684
arrivals,0.0,Uniform,200,20%,5,gamip,77.17449267633427,9.593392579464915
arrivals,0.0,Uniform,200,20%,6,lhac,95.51561939670816,2.599668154003965
arrivals,0.0,Uniform,200,20%,6,gamip,78.71047086828541,8.953340621749732
arrivals,0.0,Uniform,200,20%,7,lhac,95.36534307130954,2.4405561781239995
arrivals,0.0,Uniform,200,20%,7,gamip,78.31551022360782,8.76791293267216
arrivals,0.0,Uniform,200,20%,8,lhac,94.74139301732117,2.386838025768882
arrivals,0.0,Uniform,200,20%,8,gamip,78.41074437664307,6.830130495608013
arrivals,0.0,Uniform,200,20%,9,lhac,96.16003651832848,2.54153385522642
arrivals,0.0,Uniform,200,20%,9,gamip,80.9751337078585,8.982340312799138
arrivals,0.0,Uniform,200,30%,0,lhac,94.24925150961538,2.3354542844159782
arrivals,0.0,Uniform,200,30%,0,gamip,79.62684120814492,9.314694123623141
arrivals,0.0,Uniform,200,30%,1,lhac,95.58706783127485,2.4204760817199777
arrivals,0.0,Uniform,200,30%,1,gamip,77.73745890624933,10.195163497032393
arrivals,0.0,Uniform,200,30%,2,lhac,96.35978111288922,2.4204628302126303
arrivals,0.0,Uniform,200,30%,2,gamip,77.9929833667745,8.611078594096453
arrivals,0.0,Uniform,200,30%,3,lhac,95.99819777250788,2.6112792838823986
arrivals,0.0,Uniform,200,30%,3,gamip,77.40433583191799,8.267165903070762
arrivals,0.0,Uniform,200,30%,4,lhac,95.2425710171997,2.414212248190009
arrivals,0.0,Uniform,200,30%,4,gamip,78.79188940817117,7.671856663360644
arrivals,0.0,Uniform,200,30%,5,lhac,95.58807224575331,2.477859737669945
arrivals,0.0,Uniform,200,30%,5,gamip,79.23757137400153,9.572706856116813
arrivals,0.0,Uniform,200,30%,6,lhac,94.45834570160457,2.2130873643119213
arrivals,0.0,Uniform,200,30%,6,gamip,77.13048449607025,8.632585694697628
arrivals,0.0,Uniform,200,30%,7,lhac,94.84562961877619,2.2642507375180214
arrivals,0.0,Uniform,200,30%,7,gamip,80.14755224184935,9.38122029756455
arrivals,0.0,Uniform,200,30%,8,lhac,94.89453915102898,2.3890861210207652
arrivals,0.0,Uniform,200,30%,8,gamip,77.386224021623,8.04020517945258
arrivals,0.0,Uniform,200,30%,9,lhac,95.44860185630094,2.120261797809781
arrivals,0.0,Uniform,200,30%,9,gamip,77.93863299845613,9.009326869442729
arrivals,0.0,Uniform,300,10%,0,lhac,96.17671332725621,2.5581038040976654
arrivals,0.0,Uniform,300,10%,0,gamip,79.08511813677515,9.367259309580149
arrivals,0.0,Uniform,300,10%,1,lhac,94.63970383475093,2.4958699875254764
arrivals,0.0,Uniform,300,10%,1,gamip,79.60116195384349,9.892912876716835
arrivals,0.0,Uniform,300,10%,2,lhac,95.52500507885101,2.686038600671981
arrivals,0.0,Uniform,300,10%,2,gamip,78.49041451037259,9.087277452778316
arrivals,0.0,Uniform,300,10%,3,lhac,95.37988276149233,2.434410578577136
arrivals,0.0,Uniform,300,10%,3,gamip,77.68973286549118,8.089959588762103
arrivals,0.0,Uniform,300,10%,4,lhac,94.35388953707444,2.4400835837493426
arrivals,0.0,Uniform,300,10%,4,gamip,79.20281858595345,6.722519608320633
arrivals,0.0,Uniform,300,10%,5,lhac,95.44167509269785,2.691788401607943
arrivals,0.0,Uniform,300,10%,5,gamip,77.92196931688052,7.662973944549174
arrivals,0.0,Uniform,300,10%,6,lhac,95.7342542483645,2.5617236605228313
arrivals,0.0,Uniform,300,10%,6,gamip,79.14103817977461,9.074556976395469
arrivals,0.0,Uniform,300,10%,7,lhac,95.24440130711949,2.8215685494964218
arrivals,0.0,Uniform,300,10%,7,gamip,80.67083234985172,8.075832545749064
arrivals,0.0,Uniform,300,10%,8,lhac,94.87328409805264,2.3305140265381317
arrivals,0.0,Uniform,300,10%,8,gamip,78.2004844066039,8.57898917672653
arrivals,0.0,Uniform,300,10%,9,lhac,95.13721151318487,2.7831267294531377
arrivals,0.0,Uniform,300,10%,9,gamip,78.27677021921201,8.138790392144081
arrivals,0.0,Uniform,300,20%,0,lhac,94.56607818847978,2.4911310425365403
arrivals,0.0,Uniform,300,20%,0,gamip,78.11025252287907,9.231829134882602
arrivals,0.0,Uniform,300,20%,1,lhac,95.04070113373683,2.38661665979921
arrivals,0.0,Uniform,300,20%,1,gamip,78.41124320904046,8.793106663689096
arrivals,0.0,Uniform,300,20%,2,lhac,95.36956634442183,2.769659246227022
arrivals,0.0,Uniform,300,20%,2,gamip,78.690009386418,8.273276743339359
arrivals,0.0,Uniform,300,20%,3,lhac,95.76397515459753,2.8169229975427728
arrivals,0.0,Uniform,300,20%,3,gamip,77.75881543097718,7.918972716940145
arrivals,0.0,Uniform,300,20%,4,lhac,94.68160358986812,2.4297044846497795
arrivals,0.0,Uniform,300,20%,4,gamip,78.52696150670546,9.879467820698661
arrivals,0.0,Uniform,300,20%,5,lhac,94.82851347172561,2.560017036885859
arrivals,0.0,Uniform,300,20%,5,gamip,76.26366075388893,8.378239097053832
arrivals,0.0,Uniform,300,20%,6,lhac,94.69397887367427,2.456797902112132
arrivals,0.0,Uniform,300,20%,6,gamip,77.98529337877072,8.513207763013073
arrivals,0.0,Uniform,300,20%,7,lhac,95.42833874534236,2.4488827066860206
arrivals,0.0,Uniform,300,20%,7,gamip,78.24923135414394,9.137348257399223
arrivals,0.0,Uniform,300,20%,8,lhac,94.93311089266182,2.195409742062326
arrivals,0.0,Uniform,300,20%,8,gamip,79.33093643419689,7.035715869310858
arrivals,0.0,Uniform,300,20%,9,lhac,94.55617088741734,2.2947789659436566
arrivals,0.0,Uniform,300,20%,9,gamip,79.31343510431226,9.41021134694427
arrivals,0.0,Uniform,300,30%,0,lhac,94.62704228501445,2.670303512209171
arrivals,0.0,Uniform,300,30%,0,gamip,79.9371499471324,8.537231998115466
arrivals,0.0,Uniform,300,30%,1,lhac,95.13012200371433,2.4460028002288
arrivals,0.0,Uniform,300,30%,1,gamip,79.94504056802847,7.858686574068046
arrivals,0.0,Uniform,300,30%,2,lhac,95.43696323647258,2.4034380979092926
arrivals,0.0,Uniform,300,30%,2,gamip,75.68252465999211,8.882849181304673
arrivals,0.0,Uniform,300,30%,3,lhac,95.28686957369527,2.5842679254076217
arrivals,0.0,Uniform,300,30%,3,gamip,78.46667099641815,8.456054375698042
arrivals,0.0,Uniform,300,30%,4,lhac,96.34341290388883,2.6347910820902394
arrivals,0.0,Uniform,300,30%,4,gamip,77.78991718935823,8.238884871662634
arrivals,0.0,Uniform,300,30%,5,lhac,94.8485977321889,2.4592696832886025
arrivals,0.0,Uniform,300,30%,5,gamip,78.28811585513105,9.803370720759911
arrivals,0.0,Uniform,300,30%,6,lhac,96.08833455738444,2.665442297903457
arrivals,0.0,Uniform,300,30%,6,gamip,78.06979761410739,8.757235253338727
arrivals,0.0,Uniform,300,30%,7,lhac,94.95711273427581,2.065336512925614
arrivals,0.0,Uniform,300,30%,7,gamip,79.08001605157997,9.899650913473781
arrivals,0.0,Uniform,300,30%,8,lhac,95.65753310607757,2.4062580955816233
arrivals,0.0,Uniform,300,30%,8,gamip,79.67685331482969,8.435839055562075
arrivals,0.0,Uniform,300,30%,9,lhac,94.67219613634622,2.660289261639246
arrivals,0.0,Uniform,300,30%,9,gamip,79.37155150859336,8.501743855034723
arrivals,0.0,Uniform,400,10%,0,lhac,95.85667491711206,2.7850700444065106
arrivals,0.0,Uniform,400,10%,0,gamip,78.87825318236034,6.52970679518686
arrivals,0.0,Uniform,400,10%,1,lhac,95.7836790611283,2.878884430746864
arrivals,0.0,Uniform,400,10%,1,gamip,76.84969308526782,7.054992374165456
arrivals,0.0,Uniform,400,10%,2,lhac,95.85974885321319,2.6157992586584
arrivals,0.0,Uniform,400,10%,2,gamip,76.66420733781572,8.963465120355288
arrivals,0.0,Uniform,400,10%,3,lhac,95.01857673944005,1.9603681042584675
arrivals,0.0,Uniform,400,10%,3,gamip,77.5189915424007,9.536058327220294
arrivals,0.0,Uniform,400,10%,4,lhac,94.96494080359402,2.4116577926671283
arrivals,0.0,Uniform,400,10%,4,gamip,78.68535520272206,8.48611726038557
arrivals,0.0,Uniform,400,10%,5,lhac,95.6022626523963,2.645216066305213
arrivals,0.0,Uniform,400,10%,5,gamip,78.48154553930665,8.315619513529114
arrivals,0.0,Uniform,400,10%,6,lhac,94.17575034255046,2.7310845163914186
arrivals,0.0,Uniform,400,10%,6,gamip,79.23179449650146,8.520630876654582
arrivals,0.0,Uniform,400,10%,7,lhac,94.33894127814817,2.6587723644956536
arrivals,0.0,Uniform,400,10%,7,gamip,78.28725862980016,8.149668529638006
arrivals,0.0,Uniform,400,10%,8,lhac,94.39025144338379,2.3858111747588113
arrivals,0.0,Uniform,400,10%,8,gamip,79.286017810949,9.285800371669415
arrivals,0.0,Uniform,400,10%,9,lhac,96.0233597121025,2.3471396584574977
arrivals,0.0,Uniform,400,10%,9,gamip,77.31220525620785,9.765253564466976
arrivals,0.0,Uniform,400,20%,0,lhac,95.08560457276172,2.5802341022939945
arrivals,0.0,Uniform,400,20%,0,gamip,78.32457093326788,9.397409031712167
arrivals,0.0,Uniform,400,20%,1,lhac,95.12732783825776,2.762194858934931
arrivals,0.0,Uniform,400,20%,1,gamip,78.96054149790994,8.549674451559717
arrivals,0.0,Uniform,400,20%,2,lhac,95.01611962983756,2.3082795705757033
arrivals,0.0,Uniform,400,20%,2,gamip,78.55686752475427,9.787506052249702
arrivals,0.0,Uniform,400,20%,3,lhac,95.33110744820901,2.522015406617904
arrivals,0.0,Uniform,400,20%,3,gamip,78.92627791370406,10.099241149112206
arrivals,0.0,Uniform,400,20%,4,lhac,95.28740741265332,2.483159482134184
arrivals,0.0,Uniform,400,20%,4,gamip,78.91581370166998,7.558216500168321
arrivals,0.0,Uniform,400,20%,5,lhac,96.13931664679038,2.5244581473073318
arrivals,0.0,Uniform,400,20%,5,gamip,77.39714886035284,7.656249496810306
arrivals,0.0,Uniform,400,20%,6,lhac,95.12705131108234,2.4623965287182874
arrivals,0.0,Uniform,400,20%,6,gamip,78.56754973120192,8.482461210630445
arrivals,0.0,Uniform,400,20%,7,lhac,94.889283483738,2.560324436649139
arrivals,0.0,Uniform,400,20%,7,gamip,78.65375689763704,7.644973544821323
arrivals,0.0,Uniform,400,20%,8,lhac,95.7625765652728,2.3820055718639424
arrivals,0.0,Uniform,400,20%,8,gamip,77.61741511398526,8.668948827864918
arrivals,0.0,Uniform,400,20%,9,lhac,94.72068747345256,2.2176263381722627
arrivals,0.0,Uniform,400,20%,9,gamip,78.04427289543567,9.282067266833563
arrivals,0.0,Uniform,400,30%,0,lhac,95.5667985949886,2.3261205168659456
arrivals,0.0,Uniform,400,30%,0,gamip,78.61158622439733,8.455250962470519
arrivals,0.0,Uniform,400,30%,1,lhac,95.82492217612187,2.4176655242860514
arrivals,0.0,Uniform,400,30%,1,gamip,77.81586464661295,8.197580995732226
arrivals,0.0,Uniform,400,30%,2,lhac,95.29222208408513,2.422382069887387
arrivals,0.0,Uniform,400,30%,2,gamip,78.85913821151667,8.631036904209214
arrivals,0.0,Uniform,400,30%,3,lhac,95.66210050318551,2.578184790937522
arrivals,0.0,Uniform,400,30%,3,gamip,78.43790646630762,8.571673421154335
arrivals,0.0,Uniform,400,30%,4,lhac,95.0638743086188,2.3956584249578246
arrivals,0.0,Uniform,400,30%,4,gamip,79.60398802703152,8.80285570700928
arrivals,0.0,Uniform,400,30%,5,lhac,94.64298589038913,2.394716479997926
arrivals,0.0,Uniform,400,30%,5,gamip,79.30536987480333,8.205391653415106
arrivals,0.0,Uniform,400,30%,6,lhac,95.10981750702729,2.6363931228859774
arrivals,0.0,Uniform,400,30%,6,gamip,77.67310781863624,10.427399170792576
arrivals,0.0,Uniform,400,30%,7,lhac,95.22597645589836,2.3942481375688853
arrivals,0.0,Uniform,400,30%,7,gamip,78.43357284686444,7.68906584609432
arrivals,0.0,Uniform,400,30%,8,lhac,94.50876359819057,2.538844965066917
arrivals,0.0,Uniform,400,30%,8,gamip,79.4136622764525,8.39753913496568
arrivals,0.0,Uniform,400,30%,9,lhac,95.34905494171177,2.6406704891306214
arrivals,0.0,Uniform,400,30%,9,gamip,79.18638623156735,9.056299083080118
arrivals,25.0,Uniform,200,10%,0,lhac,96.51808164052905,2.226406330871936
arrivals,25.0,Uniform,200,10%,0,gamip,83.16828049796577,6.486476760003413
arrivals,25.0,Uniform,200,10%,1,lhac,96.150408837149,2.4803557669054657
arrivals,25.0,Uniform,200,10%,1,gamip,83.14733899359351,7.330139906102547
arrivals,25.0,Uniform,200,10%,2,lhac,96.67315179818172,2.203358917103954
arrivals,25.0,Uniform,200,10%,2,gamip,82.13041363011659,6.344894845245742
arrivals,25.0,Uniform,200,10%,3,lhac,96.26994537416661,2.044765379793602
arrivals,25.0,Uniform,200,10%,3,gamip,81.28725102679928,7.367811846622249
arrivals,25.0,Uniform,200,10%,4,lhac,96.19480067309827,2.0436032903197887
arrivals,25.0,Uniform,200,10%,4,gamip,82.94476412100796,6.252936834321156
arrivals,25.0,Uniform,200,10%,5,lhac,97.70887852417256,2.18649542770296
arrivals,25.0,Uniform,200,10%,5,gamip,82.02736983713368,7.873278907633167
arrivals,25.0,Uniform,200,10%,6,lhac,97.14407438311318,2.2428327099219376
arrivals,25.0,Uniform,200,10%,6,gamip,82.03482578976357,6.975742528012798
arrivals,25.0,Uniform,200,10%,7,lhac,96.25894128350807,2.250556989639965
arrivals,25.0,Uniform,200,10%,7,gamip,81.87528031147392,6.2007856596297275
arrivals,25.0,Uniform,200,10%,8,lhac,97.37729407634262,1.984753604480321
arrivals,25.0,Uniform,200,10%,8,gamip,82.54117423446372,7.876938981696666
arrivals,25.0,Uniform,200,10%,9,lhac,98.13211642157091,2.387312215142226
arrivals,25.0,Uniform,200,10%,9,gamip,81.31048141651384,7.426064281422568
arrivals,25.0,Uniform,200,20%,0,lhac,96.22473167157273,1.6278778653977977
arrivals,25.0,Uniform,200,20%,0,gamip,80.92922120984299,7.619109852429096
arrivals,25.0,Uniform,200,20%,1,lhac,96.0743872190519,1.980917317076725
arrivals,25.0,Uniform,200,20%,1,gamip,83.14304860549238,8.534600244466791
arrivals,25.0,Uniform,200,20%,2,lhac,97.29755848132999,2.035098601639383
arrivals,25.0,Uniform,200,20%,2,gamip,83.0280397446609,6.952970947850918
arrivals,25.0,Uniform,200,20%,3,lhac,96.06984015635012,2.3827377067605093
arrivals,25.0,Uniform,200,20%,3,gamip,82.94724663243619,8.772758085022772
arrivals,25.0,Uniform,200,20%,4,lhac,97.26573503519894,2.108690279801187
arrivals,25.0,Uniform,200,20%,4,gamip,81.1362037349999,7.620692238941466
arrivals,25.0,Uniform,200,20%,5,lhac,97.77838092801926,1.753180173134738
arrivals,25.0,Uniform,200,20%,5,gamip,82.08693675908937,6.903137136847998
arrivals,25.0,Uniform,200,20%,6,lhac,97.34836041940619,2.3780898370642602
arrivals,25.0,Uniform,200,20%,6,gamip,82.36802744779146,7.078636232554883
arrivals,25.0,Uniform,200,20%,7,lhac,97.44048358685924,2.109543394383047
arrivals,25.0,Uniform,200,20%,7,gamip,83.10847443699348,7.089507491460737
arrivals,25.0,Uniform,200,20%,8,lhac,95.98383860339064,2.223795092206667
arrivals,25.0,Uniform,200,20%,8,gamip,81.31912227162867,5.884217934916814
arrivals,25.0,Uniform,200,20%,9,lhac,97.08465674904697,2.183773379644262
arrivals,25.0,Uniform,200,20%,9,gamip,84.06068160261675,7.176301427552729
arrivals,25.0,Uniform,200,30%,0,lhac,96.43647969655709,2.387640692121041
arrivals,25.0,Uniform,200,30%,0,gamip,82.99155421834865,6.60752431522198
arrivals,25.0,Uniform,200,30%,1,lhac,97.83084673958504,1.9233265704131548
arrivals,25.0,Uniform,200,30%,1,gamip,83.00930901130371,7.247935077899248
arrivals,25.0,Uniform,200,30%,2,lhac,97.17306925257564,2.272229299792002
arrivals,25.0,Uniform,200,30%,2,gamip,82.00797241065695,6.612913438709536
arrivals,25.0,Uniform,200,30%,3,lhac,96.24988823265166,1.9393371361856484
arrivals,25.0,Uniform,200,30%,3,gamip,84.14285783673365,6.615112590509838
arrivals,25.0,Uniform,200,30%,4,lhac,96.83873394097529,2.25487422305466
arrivals,25.0,Uniform,200,30%,4,gamip,83.32541328066077,7.3672322392477625
arrivals,25.0,Uniform,200,30%,5,lhac,95.73252305148134,1.7267282986594696
arrivals,25.0,Uniform,200,30%,5,gamip,82.50878940581742,7.312163303991219
arrivals,25.0,Uniform,200,30%,6,lhac,97.2794746933395,2.313765127468903
arrivals,25.0,Uniform,200,30%,6,gamip,83.59853741422222,6.858221868851166
arrivals,25.0,Uniform,200,30%,7,lhac,95.6085366389125,2.3825228847409017
arrivals,25.0,Uniform,200,30%,7,gamip,82.35852282480852,6.968747790598963
arrivals,25.0,Uniform,200,30%,8,lhac,96.92048721263102,2.272955184442261
arrivals,25.0,Uniform,200,30%,8,gamip,83.47375029877541,6.692297788457176
arrivals,25.0,Uniform,200,30%,9,lhac,95.37477954826593,2.239761764866139
arrivals,25.0,Uniform,200,30%,9,gamip,84.12504957359036,7.024609507396985
arrivals,25.0,Uniform,300,10%,0,lhac,97.1009377060813,1.9409647807652777
arrivals,25.0,Uniform,300,10%,0,gamip,82.89004948798991,6.618743335627838
arrivals,25.0,Uniform,300,10%,1,lhac,97.21790854267786,2.385175773916506
arrivals,25.0,Uniform,300,10%,1,gamip,81.49206049373377,8.18575046631471
arrivals,25.0,Uniform,300,10%,2,lhac,96.61644426028647,1.9016405435174943
arrivals,25.0,Uniform,300,10%,2,gamip,81.24244905000234,6.626841409110456
arrivals,25.0,Uniform,300,10%,3,lhac,96.7341347282347,1.9237802756329712
arrivals,25.0,Uniform,300,10%,3,gamip,82.89034586652895,6.9882002805658585
arrivals,25.0,Uniform,300,10%,4,lhac,96.95148223461074,2.1714923926923326
arrivals,25.0,Uniform,300,10%,4,gamip,83.99902577202761,7.233776002155776
arrivals,25.0,Uniform,300,10%,5,lhac,96.99494948424322,2.2725475415769805
arrivals,25.0,Uniform,300,10%,5,gamip,83.01438862836399,6.312012910369938
arrivals,25.0,Uniform,300,10%,6,lhac,96.71943010057207,2.097554908797806
arrivals,25.0,Uniform,300,10%,6,gamip,83.21245053721458,6.818231829114132
arrivals,25.0,Uniform,300,10%,7,lhac,96.97820074041432,2.211736375329029
arrivals,25.0,Uniform,300,10%,7,gamip,82.97953503914495,6.324544528559653
arrivals,25.0,Uniform,300,10%,8,lhac,97.37273216469929,2.356616403309317
arrivals,25.0,Uniform,300,10%,8,gamip,83.66270743567581,6.272241177873173
arrivals,25.0,Uniform,300,10%,9,lhac,96.67773371878488,1.8029798280040406
arrivals,25.0,Uniform,300,10%,9,gamip,82.3674002373816,8.773251273217946
arrivals,25.0,Uniform,300,20%,0,lhac,96.11296474547738,2.0733977360518825
arrivals,25.0,Uniform,300,20%,0,gamip,83.03354026114734,7.728745791590176
arrivals,25.0,Uniform,300,20%,1,lhac,96.5600955948827,2.034917162292914
arrivals,25.0,Uniform,300,20%,1,gamip,83.18237054687424,7.69462215455306
arrivals,25.0,Uniform,300,20%,2,lhac,96.81341323438352,2.3495966259539633
arrivals,25.0,Uniform,300,20%,2,gamip,82.36481372394842,7.776196751922285
arrivals,25.0,Uniform,300,20%,3,lhac,97.01787503548739,2.1459130019882764
arrivals,25.0,Uniform,300,20%,3,gamip,82.00597880130832,6.459341526569479
arrivals,25.0,Uniform,300,20%,4,lhac,97.41609707211634,2.0433351127483337
arrivals,25.0,Uniform,300,20%,4,gamip,81.75458710819863,5.205468622022288
arrivals,25.0,Uniform,300,20%,5,lhac,97.00667975728527,1.7500772877756512
arrivals,25.0,Uniform,300,20%,5,gamip,81.53297588277712,7.443639071724759
arrivals,25.0,Uniform,300,20%,6,lhac,97.0770889084839,1.8519213587894297
arrivals,25.0,Uniform,300,20%,6,gamip,84.04909899432154,8.615233995109271
arrivals,25.0,Uniform,300,20%,7,lhac,96.59966540554079,2.306642848381252
arrivals,25.0,Uniform,300,20%,7,gamip,82.44661968228615,7.093420696318447
arrivals,25.0,Uniform,300,20%,8,lhac,97.28524558137583,2.17662924927813
arrivals,25.0,Uniform,300,20%,8,gamip,80.5765205488622,7.315894499244792
arrivals,25.0,Uniform,300,20%,9,lhac,96.68666014684683,2.2476901818474158
arrivals,25.0,Uniform,300,20%,9,gamip,81.2157708184139,7.701900034182626
arrivals,25.0,Uniform,300,30%,0,lhac,96.53760004101981,1.805121691460458
arrivals,25.0,Uniform,300,30%,0,gamip,82.9246775697318,6.029848391723474
arrivals,25.0,Uniform,300,30%,1,lhac,96.0158057699131,2.023145141351468
arrivals,25.0,Uniform,300,30%,1,gamip,82.07049886616431,6.867932781298862
arrivals,25.0,Uniform,300,30%,2,lhac,96.66974857430611,1.7629867578731897
arrivals,25.0,Uniform,300,30%,2,gamip,81.80612921525838,7.920789491561688
arrivals,25.0,Uniform,300,30%,3,lhac,96.66897999573385,2.0554221831426522
arrivals,25.0,Uniform,300,30%,3,gamip,82.18614509370755,8.23327286078337
arrivals,25.0,Uniform,300,30%,4,lhac,96.9911298456357,2.2698521417870547
arrivals,25.0,Uniform,300,30%,4,gamip,82.14117092493878,6.738604461627941
arrivals,25.0,Uniform,300,30%,5,lhac,97.49070900316221,1.8862656652713332
arrivals,25.0,Uniform,300,30%,5,gamip,81.06077884581892,7.498668564929914
arrivals,25.0,Uniform,300,30%,6,lhac,95.91319586102468,2.2944568708224264
arrivals,25.0,Uniform,300,30%,6,gamip,81.28564167341717,7.001351839798752
arrivals,25.0,Uniform,300,30%,7,lhac,97.19607146978994,1.8498986038204166
arrivals,25.0,Uniform,300,30%,7,gamip,79.7047294467668,6.230446353608745
arrivals,25.0,Uniform,300,30%,8,lhac,96.52419996858464,1.9462109258736813
arrivals,25.0,Uniform,300,30%,8,gamip,81.2819743541222,6.523384115565644
arrivals,25.0,Uniform,300,30%,9,lhac,97.23762273570487,2.265854761355146
arrivals,25.0,Uniform,300,30%,9,gamip,82.0331102307587,6.531243724184835
arrivals,25.0,Uniform,400,10%,0,lhac,96.6915664860443,1.988755633168501
arrivals,25.0,Uniform,400,10%,0,gamip,83.45441862806362,6.9503368522538445
arrivals,25.0,Uniform,400,10%,1,lhac,96.99567606186673,2.0717239797593257
arrivals,25.0,Uniform,400,10%,1,gamip,83.40561581087874,6.248081747221037
arrivals,25.0,Uniform,400,10%,2,lhac,97.07160133564625,2.1035925300210567
arrivals,25.0,Uniform,400,10%,2,gamip,84.12260759781844,7.675128371855077
arrivals,25.0,Uniform,400,10%,3,lhac,96.99672402826253,1.9953551293011333
arrivals,25.0,Uniform,400,10%,3,gamip,82.57800443961312,5.481113042690648
arrivals,25.0,Uniform,400,10%,4,lhac,96.51968441615738,1.881559017648546
arrivals,25.0,Uniform,400,10%,4,gamip,82.46067848872052,6.1506232509447285
arrivals,25.0,Uniform,400,10%,5,lhac,96.8818308718319,1.515676868051398
arrivals,25.0,Uniform,400,10%,5,gamip,83.08557748221945,7.362414210441399
arrivals,25.0,Uniform,400,10%,6,lhac,96.35856237712643,2.1926383770611557
arrivals,25.0,Uniform,400,10%,6,gamip,82.6256568386973,6.285958181100884
arrivals,25.0,Uniform,400,10%,7,lhac,96.93100342055588,2.021653336403885
arrivals,25.0,Uniform,400,10%,7,gamip,83.85370275846746,5.810400540664327
arrivals,25.0,Uniform,400,10%,8,lhac,96.72271712655757,2.3563570304165617
arrivals,25.0,Uniform,400,10%,8,gamip,82.89245044460056,5.354510008034863
arrivals,25.0,Uniform,400,10%,9,lhac,97.5927345859633,1.8185491236789775
arrivals,25.0,Uniform,400,10%,9,gamip,80.6738322003835,5.7911536408679165
arrivals,25.0,Uniform,400,20%,0,lhac,97.33252725419818,2.2441013606960345
arrivals,25.0,Uniform,400,20%,0,gamip,82.46317982612238,6.677299681980314
arrivals,25.0,Uniform,400,20%,1,lhac,97.06935214201476,2.3160833852055105
arrivals,25.0,Uniform,400,20%,1,gamip,82.42163194578599,6.15218896773203
arrivals,25.0,Uniform,400,20%,2,lhac,95.67685158255281,2.0856333825373405
arrivals,25.0,Uniform,400,20%,2,gamip,82.60134734467562,6.081421616011568
arrivals,25.0,Uniform,400,20%,3,lhac,96.6690952914817,2.161301316685446
arrivals,25.0,Uniform,400,20%,3,gamip,81.48509216962196,6.482600803287563
arrivals,25.0,Uniform,400,20%,4,lhac,97.17779543806651,2.1399658578315983
arrivals,25.0,Uniform,400,20%,4,gamip,81.84673960976639,6.344756905678013
arrivals,25.0,Uniform,400,20%,5,lhac,96.36127728124458,2.2713990228044234
arrivals,25.0,Uniform,400,20%,5,gamip,83.71413668877726,6.5696935227850135
arrivals,25.0,Uniform,400,20%,6,lhac,97.26793684010923,2.063326313576534
arrivals,25.0,Uniform,400,20%,6,gamip,83.54151579687858,7.0611654981226275
arrivals,25.0,Uniform,400,20%,7,lhac,97.51643374636784,2.1395699533558554
arrivals,25.0,Uniform,400,20%,7,gamip,81.238519982419,6.05783019480649
arrivals,25.0,Uniform,400,20%,8,lhac,97.091553369301,2.034784218176703
