pattern,size,twotc,seed,method,completion,tardy,runtime_sec
Uniform,200,20%,9,gamip,99.99999915066361,0.5216943464995366,155.69167441177765
Uniform,200,30%,0,lhac,100.0000001828772,0.6108500503686917,20.216860604791048
Uniform,200,30%,0,gamip,99.99999909039012,0.7943474638684536,77.51660878046124
Uniform,200,30%,1,lhac,100.00000002728909,0.5641761549809191,25.63870187801735
Uniform,200,30%,1,gamip,99.99999836985974,0.7540251743990485,249.43188244041275
Uniform,200,30%,2,lhac,100.0000011020098,0.44205586264837604,25.114400235002527
Uniform,200,30%,2,gamip,99.99999868008584,0.6277862095079231,224.64030276677215
Uniform,200,30%,3,lhac,99.9999996195193,0.4638887150241946,21.591647665829782
Uniform,200,30%,3,gamip,100.00000201761638,0.8030158432120637,322.864545654066
Uniform,200,30%,4,lhac,100.00000069025995,0.5319907267314775,28.933866368979363
Uniform,200,30%,4,gamip,100.0000010298627,0.7187214285163754,130.09338640756866
Uniform,200,30%,5,lhac,100.0000005249895,0.546815049217071,28.11772827438434
Uniform,200,30%,5,gamip,99.99999931967673,0.6008856767529954,130.43777828298573
Uniform,200,30%,6,lhac,100.00000018692354,0.45021886746132733,21.45993837277795
Uniform,200,30%,6,gamip,99.99999948916945,0.5697490662107545,167.08945950994513
Uniform,200,30%,7,lhac,99.99999954519039,0.593291936128356,24.026021365469223
Uniform,200,30%,7,gamip,100.00000003606982,0.6028171680711646,334.69327738084013
Uniform,200,30%,8,lhac,100.00000009366414,0.5919218290415266,28.73212583908071
Uniform,200,30%,8,gamip,100.00000061180305,0.9375604708972028,56.90850156501671
Uniform,200,30%,9,lhac,100.00000141085401,0.473970366245811,30.087617797211216
Uniform,200,30%,9,gamip,100.00000008948679,0.9355601154887159,221.35161136119305
Uniform,300,10%,0,lhac,99.64518402992235,0.49848093412885236,62.77624596570756
Uniform,300,10%,0,gamip,99.99999991984029,0.8507703406177711,4000.5783246801934
Uniform,300,10%,1,lhac,99.72286441887032,0.5573503873728395,74.87645846251968
Uniform,300,10%,1,gamip,99.99999795534339,1.0559909947000439,4058.645551417813
Uniform,300,10%,2,lhac,99.52558094974611,0.5605958741684756,64.56932254789847
Uniform,300,10%,2,gamip,100.00000033591027,1.0779622908302442,4761.313877677565
Uniform,300,10%,3,lhac,99.4318801358568,0.553921012976859,81.6875364881881
Uniform,300,10%,3,gamip,100.00000065642084,1.0533404642290811,3614.3794310432277
Uniform,300,10%,4,lhac,99.58415254711073,0.6366762238712216,76.66359477216525
Uniform,300,10%,4,gamip,100.00000057133879,0.9007339499130933,4515.012470166141
Uniform,300,10%,5,lhac,99.72490277706423,0.49964128877891895,70.9197038418446
Uniform,300,10%,5,gamip,100.00000112854903,0.8663406326486471,4000.6137907442885
Uniform,300,10%,6,lhac,99.43788318773855,0.32790776759204265,67.48680837175841
Uniform,300,10%,6,gamip,99.99999921174421,1.0247705455630982,4781.167137478686
Uniform,300,10%,7,lhac,99.44750505866425,0.5781696839252936,76.14580462567125
Uniform,300,10%,7,gamip,100.00000183967609,1.2222684595276787,4797.160229076627
Uniform,300,10%,8,lhac,99.56059199786849,0.6087854176036818,87.30565480916889
Uniform,300,10%,8,gamip,100.00000065444264,1.1602182929051974,5012.6339628925825
Uniform,300,10%,9,lhac,99.48965664022171,0.5223726048995714,88.00203862279402
Uniform,300,10%,9,gamip,99.99999803251661,0.9890542790792052,4525.712856402592
Uniform,300,20%,0,lhac,99.01982982738512,1.0339689160761216,67.12503968549571
Uniform,300,20%,0,gamip,100.00000000196874,1.996325452878013,3885.6011159304685
Uniform,300,20%,1,lhac,99.1229969260334,1.0146017593014913,90.11021836636158
Uniform,300,20%,1,gamip,100.00000085744256,1.7684600322470776,3685.6928991369327
Uniform,300,20%,2,lhac,98.85378350386233,1.0028204592768302,70.9572346338301
Uniform,300,20%,2,gamip,100.00000247187162,1.724114787422792,4284.228452068221
Uniform,300,20%,3,lhac,98.7384427720176,1.0625892298755275,74.53631545116318
Uniform,300,20%,3,gamip,99.99999901947008,1.5898485588589746,4656.867455031429
Uniform,300,20%,4,lhac,98.88062286966422,1.2213742329753017,83.32231824030397
Uniform,300,20%,4,gamip,99.99999950783807,1.8648033666576471,4262.40421751217
Uniform,300,20%,5,lhac,98.90630005535691,0.8686344291671305,72.08266462619825
Uniform,300,20%,5,gamip,100.0000010424186,1.6098238282008075,5026.63780055208
Uniform,300,20%,6,lhac,99.04493232934962,1.1068836579953607,77.88972829313657
Uniform,300,20%,6,gamip,99.99999975179539,2.142367841884396,4525.7329964612245
Uniform,300,20%,7,lhac,99.21582029931926,0.9896409430555679,51.0170310573648
Uniform,300,20%,7,gamip,99.99999991453872,1.5748254096932355,5016.355459317915
Uniform,300,20%,8,lhac,99.00078895156048,1.3072104504400928,62.8876148583784
Uniform,300,20%,8,gamip,100.00000055498623,1.6533850865165174,3955.09843384103
Uniform,300,20%,9,lhac,99.03137097586868,1.2192454087585818,70.86438116643615
Uniform,300,20%,9,gamip,100.00000041037416,1.5921487724962748,4051.0689744738593
Uniform,300,30%,0,lhac,97.34411065132682,1.8724361821473008,60.73980632874593
Uniform,300,30%,0,gamip,99.99999982107994,2.4117415773639794,8590.845591947105
Uniform,300,30%,1,lhac,97.3724706176377,1.4870877802563185,54.092427402138185
Uniform,300,30%,1,gamip,99.9999991585263,2.3563643394701552,7126.180952737181
Uniform,300,30%,2,lhac,97.3086143943897,1.1056205712370601,62.426093523342885
Uniform,300,30%,2,gamip,99.99999894962396,2.4463451076545764,6479.19476882553
Uniform,300,30%,3,lhac,97.25464517413872,1.2214924661425441,50.19433676184318
Uniform,300,30%,3,gamip,99.99999959458722,2.569234194833369,5301.440570017133
Uniform,300,30%,4,lhac,97.59482584166031,1.6586370410615179,68.11318126367495
Uniform,300,30%,4,gamip,99.99999864144375,2.5539584520346974,6793.438992751315
Uniform,300,30%,5,lhac,97.55354150796383,1.3978755120082536,70.20484898487918
Uniform,300,30%,5,gamip,100.00000158677732,2.386897551409128,7127.1943449292485
Uniform,300,30%,6,lhac,97.20393861985448,1.6243942717995234,74.84576739130007
Uniform,300,30%,6,gamip,99.9999994681975,2.3832887118882344,7422.657150787039
Uniform,300,30%,7,lhac,97.46423434838175,1.6875294759058215,67.2946696105462
Uniform,300,30%,7,gamip,100.00000067830563,2.7902019194723766,5903.12988402651
Uniform,300,30%,8,lhac,98.2690773219641,1.6527091789403952,70.14569460129003
Uniform,300,30%,8,gamip,100.00000035408158,2.4950154570479017,8937.329726222322
Uniform,300,30%,9,lhac,97.49125866239159,1.6592697635369316,72.85331589939179
Uniform,300,30%,9,gamip,99.99999783783969,2.4196401520960036,6507.147711472726
Uniform,400,10%,0,lhac,97.5287286525895,1.439908797778866,181.74114725811245
Uniform,400,10%,0,gamip,99.99999744625606,2.335655334287533,11668.776916739247
Uniform,400,10%,1,lhac,97.68460506393151,1.4479341615107002,158.20260157249143
Uniform,400,10%,1,gamip,99.99999937994714,2.474315916837139,12572.068520494084
Uniform,400,10%,2,lhac,97.80189275795253,1.2408714254264221,109.83837075273601
Uniform,400,10%,2,gamip,99.9999981639659,2.185951625798292,12257.551335162847
Uniform,400,10%,3,lhac,97.865654909691,1.3413272274288868,121.17875821369981
Uniform,400,10%,3,gamip,99.99999904832994,1.877898816501321,12256.859675773187
Uniform,400,10%,4,lhac,98.28061011119867,0.9891711354598471,116.0857894647686
Uniform,400,10%,4,gamip,99.99999756606236,1.8973739366776496,11150.920285209777
Uniform,400,10%,5,lhac,98.2825588263069,1.3584717451049821,137.20183136484522
Uniform,400,10%,5,gamip,99.9999999308194,1.575262444834391,11801.49268335927
Uniform,400,10%,6,lhac,97.90671762997638,1.3796964168783978,139.09507816278003
Uniform,400,10%,6,gamip,100.00000074233641,1.8680794337509212,10149.179649950034
Uniform,400,10%,7,lhac,98.13838212684887,1.4151879103109293,129.77338260847068
Uniform,400,10%,7,gamip,99.9999991637502,1.6249579133886916,11299.787883723962
Uniform,400,10%,8,lhac,97.82228490229247,1.2559378080466705,136.2416446418523
Uniform,400,10%,8,gamip,99.9999998595104,1.795333702280677,9899.705646337243
Uniform,400,10%,9,lhac,98.1626569212076,0.92878559938491,123.37702928037514
Uniform,400,10%,9,gamip,100.00000137920199,2.2792647411133853,11437.185108804533
Uniform,400,20%,0,lhac,96.74502081710403,2.3812820783470903,156.5769706280759
Uniform,400,20%,0,gamip,99.88337177180904,2.7893231797843088,15669.070895591822
Uniform,400,20%,1,lhac,96.56651204859574,2.1745055808178653,143.92697142072055
Uniform,400,20%,1,gamip,99.49639335487541,2.9493302010690243,13496.999691943598
Uniform,400,20%,2,lhac,96.7241520456101,1.9390237931014267,133.2759315286764
Uniform,400,20%,2,gamip,99.70745308811166,2.62331115528595,11441.98855725619
Uniform,400,20%,3,lhac,96.87580628604753,1.7203867545423974,144.4745535813804
Uniform,400,20%,3,gamip,99.4673523647296,2.492055780094756,14237.324480082672
Uniform,400,20%,4,lhac,96.69651715503845,2.1722198644458466,149.13131626290073
Uniform,400,20%,4,gamip,99.21148511204264,2.6999207161963743,11521.101857176023
Uniform,400,20%,5,lhac,95.67125448826984,2.0515409829617246,157.84955010867628
Uniform,400,20%,5,gamip,99.42357041911937,3.035618884143998,15052.428416082586
Uniform,400,20%,6,lhac,96.79936154206287,1.7446470047495577,133.43499312439593
Uniform,400,20%,6,gamip,99.79044265305306,3.385255709445222,17704.41256944544
Uniform,400,20%,7,lhac,96.16681669907817,2.100736862639064,136.84695451403036
Uniform,400,20%,7,gamip,99.60665898070543,3.5392010460220815,15154.41881884606
Uniform,400,20%,8,lhac,96.55543315928021,1.5884956651252682,180.0351324897741
Uniform,400,20%,8,gamip,99.42072005518779,3.6271741136587927,14074.255825367734
Uniform,400,20%,9,lhac,96.39485734634991,1.7185714818168711,152.86211625557075
Uniform,400,20%,9,gamip,99.73850408722038,3.1623302934116597,12465.48012627929
Uniform,400,30%,0,lhac,95.56334086929736,2.8797013627190493,117.59394169513445
Uniform,400,30%,0,gamip,98.53948976664334,4.447826177304809,11089.75864451186
Uniform,400,30%,1,lhac,94.81835235167941,3.0788078820858438,166.7483757510413
Uniform,400,30%,1,gamip,99.32161922646799,4.784856091408793,11430.081327051363
Uniform,400,30%,2,lhac,95.37672597770617,3.329566032762368,155.28998767596897
Uniform,400,30%,2,gamip,98.32515311164416,5.038499077738899,12116.962565160266
Uniform,400,30%,3,lhac,95.75126953902081,2.977351637387061,141.15025480755003
Uniform,400,30%,3,gamip,98.04966769658394,4.01211519299869,9813.558192828506
Uniform,400,30%,4,lhac,94.54658247357358,2.687687197082468,154.6908751074217
Uniform,400,30%,4,gamip,97.71012575434034,4.1439682338555475,11604.562494021911
Uniform,400,30%,5,lhac,94.88862362126545,3.3511383010918654,103.08174190635347
Uniform,400,30%,5,gamip,99.28232606622147,4.877264633997719,12728.446916694014
Uniform,400,30%,6,lhac,94.78766825482026,3.178394641712073,138.01515024787082
Uniform,400,30%,6,gamip,97.36589791040426,4.373957594314036,13224.298932292511
Uniform,400,30%,7,lhac,94.96631586888533,3.0110097559704494,147.69285830014115
Uniform,400,30%,7,gamip,97.06818572994945,4.089415688956959,11311.445127169807
Uniform,400,30%,8,lhac,95.68774495382601,2.9495246913498017,107.65879211567022
Uniform,400,30%,8,gamip,97.43966568777705,4.568078872917379,11640.010718533702
Uniform,400,30%,9,lhac,95.53761313231077,3.4173575646397047,122.43649792527037
Uniform,400,30%,9,gamip,98.35708860788658,4.530040280979686,12048.039222731722
Right-skewed,200,10%,0,lhac,99.99999946428433,6.773587255481242e-07,18.310280060941977
Right-skewed,200,10%,0,gamip,100.00000193999261,0.36832259030585557,6936.985322956072
Right-skewed,200,10%,1,lhac,99.99999990291893,-6.216389443278901e-07,15.246436702434178
Right-skewed,200,10%,1,gamip,99.99999852935966,0.3188877644755414,6278.79370104346
Right-skewed,200,10%,2,lhac,100.00000030821077,1.6347536493536607e-07,23.569688096129976
Right-skewed,200,10%,2,gamip,99.99999927247714,0.3395799888516803,8212.06869844111
Right-skewed,200,10%,3,lhac,99.99999706910562,-3.0000857067435287e-08,22.685787147361008
Right-skewed,200,10%,3,gamip,99.99999956222334,0.22970765365510298,7397.580427777134
Right-skewed,200,10%,4,lhac,100.00000111611863,-2.1585506322659403e-07,24.827319721545294
Right-skewed,200,10%,4,gamip,100.00000005531922,0.341646676286114,6810.449952897593
Right-skewed,200,10%,5,lhac,99.99999897383584,6.588012749492569e-07,21.569869849557335
Right-skewed,200,10%,5,gamip,99.99999968998861,0.27739658209778284,8247.842495156336
Right-skewed,200,10%,6,lhac,100.00000051854391,8.273580460510707e-07,27.52274374543376
Right-skewed,200,10%,6,gamip,100.00000096564195,0.3096747689580488,7774.156805272248
Right-skewed,200,10%,7,lhac,99.99999912242447,-7.130161264925591e-07,28.86198875209504
Right-skewed,200,10%,7,gamip,100.00000052384148,0.37467480311276596,7530.790843020851
Right-skewed,200,10%,8,lhac,100.00000023055618,-1.643520959016475e-07,20.31178825166594
Right-skewed,200,10%,8,gamip,100.00000163229552,0.3810526195001447,7981.864552558885
Right-skewed,200,10%,9,lhac,100.00000079161718,-9.662037067557798e-07,17.85673006525293
Right-skewed,200,10%,9,gamip,100.00000018449178,0.2416582521472446,7639.869081631862
Right-skewed,200,20%,0,lhac,100.00000024810987,0.3047915152272296,31.70631384779782
Right-skewed,200,20%,0,gamip,99.99999920492876,0.6333919397236886,5760.767624622593
Right-skewed,200,20%,1,lhac,99.99999923387936,0.32832402296115537,24.721914791057717
Right-skewed,200,20%,1,gamip,99.99999979946969,0.6467704568823791,5576.953588966756
Right-skewed,200,20%,2,lhac,100.00000133592101,0.34976978932096475,26.984146333190985
Right-skewed,200,20%,2,gamip,99.99999961811655,0.6240817667974541,5455.349796817991
Right-skewed,200,20%,3,lhac,100.00000062813105,0.3591941591927185,30.309242691458813
Right-skewed,200,20%,3,gamip,100.00000018423347,0.5554966797172908,5108.366467260724
Right-skewed,200,20%,4,lhac,100.00000023054645,0.26324282817641137,27.159698678168528
Right-skewed,200,20%,4,gamip,99.99999953137832,0.8097689808214072,4794.658671523948
Right-skewed,200,20%,5,lhac,99.99999859357924,0.33286415429135674,29.93808221189281
Right-skewed,200,20%,5,gamip,99.99999780972026,0.5835220567047528,4868.848793439064
Right-skewed,200,20%,6,lhac,100.00000042937637,0.329605633811261,19.315422104738442
Right-skewed,200,20%,6,gamip,100.00000000848584,0.7451627245520225,3850.1776069985312
Right-skewed,200,20%,7,lhac,100.00000039408495,0.2426552042412212,27.787830559085197
Right-skewed,200,20%,7,gamip,99.9999996813312,0.46795417028662256,6413.52228719595
Right-skewed,200,20%,8,lhac,100.00000069085586,0.3627162824569192,22.99981909782716
Right-skewed,200,20%,8,gamip,99.99999986827675,0.41210416524132076,4636.029857328824
Right-skewed,200,20%,9,lhac,99.99999877031101,0.2763260005119206,35.07649490560337
Right-skewed,200,20%,9,gamip,100.00000171751981,0.5467977818138908,6220.564089033826
Right-skewed,200,30%,0,lhac,99.99999908673504,0.5505105026637397,19.295341257462926
Right-skewed,200,30%,0,gamip,100.00000039380768,0.9661526747660996,4606.830063164103
Right-skewed,200,30%,1,lhac,99.99999963302199,0.49254067427056425,20.42178978179704
Right-skewed,200,30%,1,gamip,100.00000162351608,1.1836079876627983,3195.8580625570467
Right-skewed,200,30%,2,lhac,100.00000098475154,0.42624091155403787,22.72950222711443
Right-skewed,200,30%,2,gamip,100.00000036909705,0.947824569899808,4417.062941637971
Right-skewed,200,30%,3,lhac,99.99999921027035,0.5098476179766314,24.572882301020844
Right-skewed,200,30%,3,gamip,99.99999874441049,1.2012222808961979,3736.1929124927706
Right-skewed,200,30%,4,lhac,99.99999907089926,0.469531441565587,16.702064429588383
Right-skewed,200,30%,4,gamip,99.9999990739725,0.7581283795873964,3978.8175033217262
Right-skewed,200,30%,5,lhac,100.00000054098274,0.48718925342806685,23.8843992598066
Right-skewed,200,30%,5,gamip,100.00000001782817,1.2364327020415433,3228.237392651947
Right-skewed,200,30%,6,lhac,100.0000018001918,0.48655768136174765,23.541202109378112
Right-skewed,200,30%,6,gamip,100.00000013209187,1.4428885347542741,3340.6116496630543
Right-skewed,200,30%,7,lhac,99.99999959446832,0.46878499682093977,26.619626015063748
Right-skewed,200,30%,7,gamip,100.00000213293065,1.1039025557098925,3330.9942608405017
Right-skewed,200,30%,8,lhac,100.00000049739917,0.5609189309843141,20.356072687089835
Right-skewed,200,30%,8,gamip,99.99999993807923,0.9848980418362671,3552.1797031327824
Right-skewed,200,30%,9,lhac,100.00000158620063,0.5211056896068387,11.060344223799914
Right-skewed,200,30%,9,gamip,100.00000075993633,1.1389246291046349,2976.8953145824125
Right-skewed,300,10%,0,lhac,99.9090752715096,0.4492985097342408,75.05489161666868
Right-skewed,300,10%,0,gamip,99.99999946025638,1.5192794368400528,9551.342117493456
Right-skewed,300,10%,1,lhac,99.91811617237039,0.5810247371682795,106.05446624578255
Right-skewed,300,10%,1,gamip,99.99999892817944,1.2707180297052412,11276.832799762311
Right-skewed,300,10%,2,lhac,99.77882877440224,0.6034776103221777,80.80318435406205
Right-skewed,300,10%,2,gamip,100.00000122731166,1.4275517178907937,10069.236436933134
Right-skewed,300,10%,3,lhac,99.82413096532976,0.5510408286992945,73.42716711459313
Right-skewed,300,10%,3,gamip,100.0000012019969,0.986197531659237,8831.665624178011
Right-skewed,300,10%,4,lhac,99.79982802897301,0.5901003024326631,69.61137413927507
Right-skewed,300,10%,4,gamip,99.99999958266929,1.1325614436883664,11037.678530356658
Right-skewed,300,10%,5,lhac,99.7756994371582,0.4919027121901661,72.30544941599784
Right-skewed,300,10%,5,gamip,100.00000143571079,0.9320820881463765,14512.983482332605
Right-skewed,300,10%,6,lhac,99.74098529332574,0.5557670967129726,75.84269953324267
Right-skewed,300,10%,6,gamip,100.00000007405332,1.2967880108286307,13363.644149002841
Right-skewed,300,10%,7,lhac,99.95504526416579,0.5316940250133821,73.99958014101496
Right-skewed,300,10%,7,gamip,100.00000027216815,1.359637859530172,9569.076791319156
Right-skewed,300,10%,8,lhac,99.72966256097021,0.66049867703331,79.13348859570644
Right-skewed,300,10%,8,gamip,100.0000003599054,1.3578805707111103,11278.653111206264
Right-skewed,300,10%,9,lhac,99.80128066309439,0.5646879806234024,92.39673322916263
Right-skewed,300,10%,9,gamip,99.99999987375664,1.1464004224899726,11045.50441198744
Right-skewed,300,20%,0,lhac,99.23593899109154,1.3314981314602097,72.42489090215848
Right-skewed,300,20%,0,gamip,100.00000018773729,2.3762894878791907,9677.07745827445
Right-skewed,300,20%,1,lhac,99.50210900122349,0.9688280008824091,75.6360570919384
Right-skewed,300,20%,1,gamip,100.0000013300419,2.2958132805685976,13123.813484176595
Right-skewed,300,20%,2,lhac,99.34566374325806,1.4746600456519914,72.15122500528804
Right-skewed,300,20%,2,gamip,99.99999942498009,2.0226938634118694,7829.522220317011
Right-skewed,300,20%,3,lhac,99.37264075340858,1.4140812239420018,82.56888245504702
Right-skewed,300,20%,3,gamip,99.99999844001874,2.113779209793239,8617.159864462734
Right-skewed,300,20%,4,lhac,99.53345277569717,1.0015112876508567,75.33389719641204
Right-skewed,300,20%,4,gamip,100.00000137232372,1.8753819212979945,7176.7819749464525
Right-skewed,300,20%,5,lhac,99.5051902588665,1.2815757649370074,81.3109041173152
Right-skewed,300,20%,5,gamip,99.99999946588008,2.257132079770835,8050.259379068072
Right-skewed,300,20%,6,lhac,99.30832470352438,1.1674336783986854,81.7510193341675
Right-skewed,300,20%,6,gamip,99.99999881475722,2.291191024652656,12746.309565790525
Right-skewed,300,20%,7,lhac,99.35192504087372,1.0503103565376926,57.19631543892977
Right-skewed,300,20%,7,gamip,99.99999804957304,2.3377466130340285,8314.006781556624
Right-skewed,300,20%,8,lhac,99.4862885168731,1.0699892281781906,88.12580704661973
Right-skewed,300,20%,8,gamip,100.00000069418392,2.1597201237554504,12940.789630762121
Right-skewed,300,20%,9,lhac,99.68738003833111,1.155690683518334,67.2653505826216
Right-skewed,300,20%,9,gamip,99.99999964089191,2.8262360941521507,4158.642377954745
Right-skewed,300,30%,0,lhac,98.71151084666606,2.057019484369638,92.21212961070087
Right-skewed,300,30%,0,gamip,99.99999944712191,3.021822430276673,9303.485695478872
Right-skewed,300,30%,1,lhac,98.21584392026755,1.8505265026128759,69.73025203011096
Right-skewed,300,30%,1,gamip,99.99999953474394,3.2165391156249994,8520.168574636622
Right-skewed,300,30%,2,lhac,98.4332584251524,1.9418810656170251,83.39998834830047
Right-skewed,300,30%,2,gamip,99.99999919236497,2.9874805238773567,7262.6693460167435
Right-skewed,300,30%,3,lhac,98.15986555390651,1.7769649254842774,79.25532094456243
Right-skewed,300,30%,3,gamip,100.0000000898564,2.6271428359391242,8626.017712074667
Right-skewed,300,30%,4,lhac,98.6770113569885,1.3809353976365872,76.80637535510655
Right-skewed,300,30%,4,gamip,100.00000001856522,3.092938550682435,6814.441052929318
Right-skewed,300,30%,5,lhac,98.82748249419767,1.642472368615865,62.13414137651514
Right-skewed,300,30%,5,gamip,100.00000040469621,3.400881331195006,4593.44744604613
Right-skewed,300,30%,6,lhac,98.6821064249522,1.8855126329401997,96.59004738383229
Right-skewed,300,30%,6,gamip,100.00000079265575,2.7603780560767275,7959.643247577307
Right-skewed,300,30%,7,lhac,98.8821606995277,2.082336771320857,90.13287646120355
Right-skewed,300,30%,7,gamip,99.99999966330455,2.3849984849073085,9142.99828214261
Right-skewed,300,30%,8,lhac,98.89792968562968,1.4985393245203948,92.2728438405845
Right-skewed,300,30%,8,gamip,99.99999965139484,2.9562703423347205,9846.391400304858
Right-skewed,300,30%,9,lhac,98.68289599484818,1.9213217690327717,87.03466209362816
Right-skewed,300,30%,9,gamip,99.99999926926334,3.2510891021720894,8567.607523310526
Right-skewed,400,10%,0,lhac,99.0871119430282,1.7180757131998712,131.4894711420536
Right-skewed,400,10%,0,gamip,99.99999867124555,2.04532405338024,15203.983254451672
Right-skewed,400,10%,1,lhac,99.11956643953273,1.528707833413363,149.4292542571546
Right-skewed,400,10%,1,gamip,100.00000045459592,2.5392469394704063,14113.132663154316
Right-skewed,400,10%,2,lhac,99.00352344851662,1.542364704982224,108.05400722696164
Right-skewed,400,10%,2,gamip,99.99999908645079,1.9365911303240313,13428.742842699323
Right-skewed,400,10%,3,lhac,98.89527302084348,1.5189871457417288,113.03583743121041
Right-skewed,400,10%,3,gamip,100.00000062789562,2.0752175701550266,15272.133327307709
Right-skewed,400,10%,4,lhac,98.96772009071162,1.0474666954202236,110.79806616808301
Right-skewed,400,10%,4,gamip,99.99999953340104,2.3641187521800533,15506.789743371213
Right-skewed,400,10%,5,lhac,98.92477727116011,1.490214431232423,115.60014039015526
Right-skewed,400,10%,5,gamip,99.99999915708226,2.789444471333396,17013.599948209616
Right-skewed,400,10%,6,lhac,98.93783166166564,1.3789763297616255,156.0700612331741
Right-skewed,400,10%,6,gamip,100.00000110181692,2.082844843100794,13688.421169728763
Right-skewed,400,10%,7,lhac,98.82517521940304,1.604355428226649,116.40058862288771
Right-skewed,400,10%,7,gamip,99.99999798217793,2.292452845990502,14043.667703640227
Right-skewed,400,10%,8,lhac,98.81919992918434,1.306772721722143,147.89763962124692
Right-skewed,400,10%,8,gamip,99.99999863200603,2.576362006416277,14190.26138530296
Right-skewed,400,10%,9,lhac,99.16538986646108,1.5715817915698136,126.40056875540748
Right-skewed,400,10%,9,gamip,100.0000002386088,2.3048072642886113,14263.524154730643
Right-skewed,400,20%,0,lhac,97.25250689240808,2.269361206331615,144.57909090730286
Right-skewed,400,20%,0,gamip,100.00000144873526,3.5850976492335533,12807.801691961124
Right-skewed,400,20%,1,lhac,97.53844489447064,2.740417517305824,140.07437499233555
Right-skewed,400,20%,1,gamip,100.00000070502722,3.8476385639018673,14862.428235132973
Right-skewed,400,20%,2,lhac,97.76392306972929,2.4745110159339427,127.89286280247666
Right-skewed,400,20%,2,gamip,99.99999965151072,4.4046950294657305,12507.110787639944
Right-skewed,400,20%,3,lhac,97.23714992528011,2.4674737602812233,152.7593649633657
Right-skewed,400,20%,3,gamip,100.00000008061377,4.194292217714202,16440.264087921903
Right-skewed,400,20%,4,lhac,97.73915143829208,2.609669690981925,143.00988984582398
Right-skewed,400,20%,4,gamip,100.00000105446449,3.403190616263334,14686.49330812258
Right-skewed,400,20%,5,lhac,96.97551732973136,2.8893806065359082,160.84721823239772
Right-skewed,400,20%,5,gamip,99.99999942864413,3.7880347464368893,13216.580128000225
